"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tmem255a",0,3.81579437727842,0.712,0.115,0,"4","Tmem255a"
"Cbln1",0,3.56128290986761,0.618,0.066,0,"4","Cbln1"
"Gpx3",0,3.64410607698499,0.62,0.07,0,"4","Gpx3"
"Nrsn2",0,2.10747692350296,0.816,0.296,0,"4","Nrsn2"
"Spint2",0,2.19417953092487,0.811,0.304,0,"4","Spint2"
"Zcchc12",0,1.92355922966924,0.816,0.312,0,"4","Zcchc12"
"Scg2",0,2.43771178758694,0.863,0.361,0,"4","Scg2"
"Vat1",0,2.11630005097037,0.875,0.379,0,"4","Vat1"
"Six3",0,2.11896215899664,0.628,0.139,0,"4","Six3"
"Gal",0,4.81508512158746,0.538,0.05,0,"4","Gal"
"Slc6a111",0,1.78156461398017,0.926,0.441,0,"4","Slc6a11"
"Tox21",0,1.84702038100212,0.788,0.313,0,"4","Tox2"
"Tppp31",0,1.92671564740722,0.963,0.512,0,"4","Tppp3"
"Gpr165",0,3.84138864414033,0.493,0.045,0,"4","Gpr165"
"Grb10",0,2.02496338748636,0.664,0.223,0,"4","Grb10"
"Ddn1",0,1.21564124023502,0.984,0.649,0,"5","Ddn"
"Trim541",0,2.74534788428858,0.342,0.065,0,"5","Trim54"
"Hpcal42",0,1.19723529189372,0.988,0.732,0,"5","Hpcal4"
"Nptxr2",0,1.81744113603286,1,0.919,0,"5","Nptxr"
"Icam52",9.32005434314927e-320,1.196386886443,0.888,0.48,9.03020065307733e-316,"5","Icam5"
"Wfs11",1.24346441745325e-319,0.907612261808265,0.818,0.384,1.20479267407045e-315,"5","Wfs1"
"Sept52",2.16593206071864e-313,0.934692022032808,0.998,0.926,2.09857157363029e-309,"5","Sept5"
"Camk2n11",1.40481607400967e-308,1.08156085512669,0.999,0.954,1.36112629410797e-304,"5","Camk2n1"
"Marcksl12",9.60856317347143e-290,1.3327260195334,0.903,0.651,9.30973685877647e-286,"5","Marcksl1"
"Gprin12",3.13215172800357e-286,1.2557352904177,0.87,0.543,3.03474180926266e-282,"5","Gprin1"
"Nrxn21",8.0341876499624e-284,0.722536763415359,0.998,0.986,7.78432441404857e-280,"5","Nrxn2"
"Celf41",4.30201797279032e-282,0.914052190438723,0.978,0.804,4.16822521383654e-278,"5","Celf4"
"Stx1a2",8.899887190168e-279,1.14570767467414,0.903,0.536,8.62310069855378e-275,"5","Stx1a"
"Camkv2",5.01353259803567e-249,1.00046462891041,0.925,0.687,4.85761173423676e-245,"5","Camkv"
"Syn22",1.99279638436039e-240,1.04068229950872,0.898,0.662,1.93082041680678e-236,"5","Syn2"
"Ly6h2",1.96053485890706e-230,0.777011023395608,0.995,0.814,1.89956222479505e-226,"5","Ly6h"
"Limd21",1.81472333815037e-226,1.11440923152445,0.863,0.583,1.75828544233389e-222,"5","Limd2"
"Celf31",2.53722226878596e-224,0.856361256684348,0.961,0.834,2.45831465622672e-220,"5","Celf3"
"Ppfibp11",1.0059386444626e-209,1.40932091796082,0.628,0.292,9.74653952619813e-206,"5","Ppfibp1"
"Plppr4",9.43212112347198e-207,0.898125900185685,0.89,0.665,9.138782156532e-203,"5","Plppr4"
"Id31",0,2.17247306063949,0.758,0.282,0,"6","Id3"
"Igf2",0,3.46109095373761,0.687,0.221,0,"6","Igf2"
"Igfbp2",0,4.33405826939962,0.31,0.036,0,"6","Igfbp2"
"Igfbp7",0,1.7336310132877,0.954,0.759,0,"6","Igfbp7"
"Plpp3",0,1.38124936988141,0.984,0.839,0,"6","Plpp3"
"Clu1",0,0.906441592099899,1,0.99,0,"6","Clu"
"Atp1a21",0,1.11270779162662,1,0.996,0,"6","Atp1a2"
